supernova_mag_boost supernova_mag_stretch em_syserr inclination_EM log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B timeshift luminosity_distance Ebv log_likelihood log_prior
4.13264140576497 2.881909511998235 0.4559819837791852 0.014552322320482272 54.54035925353336 0.27941031189487797 1.4868210510071318 2.3507290459656516 -2.012873297404472 -5.050319458860675 0.0 1981.0 0.0 -34.01202542541874 -11.743921659826047
3.0350089504991136 2.4857417940954907 0.4736912698451857 0.054366292429048835 56.0152786741097 0.14111056447057393 -1.4812734362133648 2.54232152393972 -2.015432792471001 -6.126170649593352 0.0 1981.0 0.0 -33.997397283472495 -11.782024140395716
0.5424464076999271 3.181444295355134 0.33804164969308487 0.05241194918530913 56.2317714586753 0.2979095660569017 -5.242977061535236 2.5021436579122716 -2.636786641820186 -3.372450898764342 0.0 1981.0 0.0 -33.945869926478196 -11.444637472183956
-1.4173217068013262 4.754438462719491 0.4762420405798064 0.05014991807723422 56.03234208839069 0.29628802666430226 -1.1256209432574904 2.424420512521908 -3.3921993030902797 -0.5124472974527485 0.0 1981.0 0.0 -33.90304594703155 -11.787394573956277
0.3046414234949282 0.42573881824345206 0.3810314500140888 0.15918315729949867 54.619213434769655 0.17939874130130257 -2.7885985281943957 2.5370083901076628 -1.2764604813196496 -4.269366087170278 0.0 1981.0 0.0 -33.89616457500884 -11.56435027803705
3.2003270427332566 2.274031217072817 0.537263724205979 0.11842154776372164 54.06724697748225 0.1729030239022242 -1.4958300418007786 2.060542566621737 -1.9953234249178218 -0.32011650452479934 0.0 1981.0 0.0 -33.880291113295414 -11.907957440832693
1.322100710307419 2.7633189372176674 0.4658197216780953 0.08305586954054413 56.62869763706135 0.16584725338308318 -0.2795090660845627 2.6228415619054997 -3.2974518474657817 -2.09163555482008 0.0 1981.0 0.0 -33.87462564549119 -11.765267056271334
1.3490514808056382 4.44899315215894 0.2679869621673753 0.18749646157400052 53.408360112915716 0.2379793037088225 -2.009997656084191 2.328006555994482 -1.2802562031087423 -1.1544746575983815 0.0 1981.0 0.0 -33.864511700642865 -11.21240669104662
-1.2780664550132843 2.7165977317216554 0.5585703099770919 0.05657525440838223 56.326282344676414 0.15084146420410777 0.7263501043659133 2.0970404181304207 -4.111407144946105 -2.997984780688645 0.0 1981.0 0.0 -33.82286033648762 -11.946848861671882
4.71398956704234 1.9408644397346044 0.44407717856671386 0.036415143264263025 56.89937939120606 0.24465563514472435 2.0342484618152366 2.1330805499579264 -4.664857823135481 -1.2368491498546756 0.0 1981.0 0.0 -33.798306793418526 -11.717466733275359
